,time,SN_cCln3,SN_cWhi3P,SN_cWhi5,SN_cCln12,SN_Sbf_ac,V_tot_fl,SN_Sbft,SN_cSbf,SN_cWhi5P,SN_cWhi5Sbf,SN_cWhi5t,SN_cSbft,initial_volume
0,0.0,0.0,0.0,5.400020369916308,0.0,1.851810573651154e-05,9.999999999999996,11.000000000000005,2.0369916310162713e-05,0.0,1.0999796300836908,6.499999999999998,1.100000000000001,10.0
1,0.0,0.0,0.0,4.612145061677881,0.0,2.1681415159588505e-05,11.379310344827584,12.517241379310336,2.384955667554734e-05,0.0,1.099976150443324,5.712121212121206,1.0999999999999994,11.379310344827587
2,0.0,0.0,0.0,3.994622130927883,0.0,2.5033030264053005e-05,12.75862068965517,14.034482758620705,2.753633329045834e-05,0.0,1.0999724636667108,5.094594594594594,1.1000000000000012,12.758620689655173
3,0.0,0.0,0.0,3.497592424915943,0.0,2.8590278346845558e-05,14.137931034482758,15.55172413793096,3.144930618152996e-05,0.0,1.0999685506938133,4.597560975609756,1.0999999999999948,14.137931034482758
4,0.0,0.0,0.0,3.0889244988363482,0.0,3.23726794778321e-05,15.517241379310343,17.068965517241384,3.560994742561533e-05,0.0,1.0999643900525748,4.188888888888923,1.1000000000000005,15.517241379310345
5,0.0,0.0,0.0,2.7469788180453043,0.0,3.6402304638334125e-05,16.896551724137932,18.58620689655171,4.004253510216751e-05,0.0,1.099959957464897,3.846938775510201,1.0999999999999992,16.896551724137932
6,0.0,0.0,0.0,2.4566485482119473,0.0,4.070420640841783e-05,18.275862068965523,20.10344827586195,4.477462704925934e-05,0.0,1.0999552253729439,3.556603773584891,1.0999999999999932,18.275862068965516
7,0.0,0.0,0.0,2.207067381493617,0.0,4.5306939944141797e-05,19.655172413793096,21.620689655172445,4.9837633938556066e-05,0.0,1.0999501623660635,3.307017543859681,1.100000000000002,19.655172413793103
8,0.0,0.0,0.0,1.9902192019430647,0.0,5.0243197122539036e-05,21.034482758620694,23.137931034482776,5.526751683479297e-05,0.0,1.099944732483166,3.09016393442623,1.1000000000000005,21.03448275862069
9,0.0,0.0,0.0,1.8000611056419806,0.0,5.555058360420335e-05,22.413793103448278,24.655172413793025,6.110564196462349e-05,0.0,1.0999388943580317,2.9000000000000123,1.0999999999999963,22.413793103448278
10,0.0,0.0,0.0,1.6319514578066798,0.0,6.12725778477539e-05,23.793103448275854,26.17241379310326,6.739983563252884e-05,0.0,1.09993260016436,2.73188405797104,1.0999999999999925,23.793103448275865
11,0.0,0.0,0.0,1.4822659865180874,0.0,6.745972378581681e-05,25.17241379310344,27.689655172413303,7.42056961643972e-05,0.0,1.0999257943038163,2.582191780821904,1.0999999999999808,25.17241379310345
12,0.0,0.0,0.0,1.348133536290935,0.0,7.417112637259082e-05,26.551724137931043,29.206896551723492,8.158823900984808e-05,0.0,1.0999184117609655,2.4480519480519,1.0999999999999754,26.551724137931036
13,0.0,0.0,0.0,1.2272501178051953,0.0,8.147634366860592e-05,27.931034482758612,30.724137931035095,8.962397803546833e-05,0.0,1.0999103760219868,2.327160493827182,1.1000000000000223,27.931034482758623
14,0.0,0.0,0.0,1.1177454624076752,0.0,8.94578037509896e-05,29.310344827586196,32.241379310344776,9.840358412608844e-05,0.0,1.0999015964158725,2.2176470588235477,1.0999999999999988,29.310344827586206
15,0.0,0.0,0.0,1.0180855634067982,0.0,9.821392444949328e-05,30.68965517241378,33.758620689655075,0.00010803531689444235,0.0,1.0998919646831027,2.117977528089901,1.0999999999999974,30.689655172413794
16,0.0,0.0,0.0,0.9270003699351054,0.0,0.00010786318638509415,32.06896551724138,35.275862068965765,0.00011864950502360439,0.0,1.099881350494984,2.0268817204300893,1.1000000000000076,32.06896551724138
17,0.0,0.0,0.0,0.8434293735411202,0.0,0.00011854951722688916,33.44827586206896,36.79310344827591,0.00013040446894957826,0.0,1.099869595531052,1.943298969072172,1.1000000000000014,33.44827586206897
18,0.0,0.0,0.0,0.7664801281215188,0.0,0.00013044950727465727,34.82758620689656,38.31034482758615,0.00014349445800212272,0.0,1.099856505541996,1.8663366336635148,1.099999999999998,34.827586206896555
19,0.0,0.0,0.0,0.6953962556870638,0.0,0.00014378222626261657,36.20689655172413,39.82758620689467,0.0001581604488888708,0.0,1.0998418395510594,1.7952380952381233,1.0999999999999484,36.20689655172414
20,0.0,0.0,0.0,0.6295325032501515,0.0,0.0001588228045467822,37.58620689655172,41.34482758620685,0.0001747050850014602,0.0,1.0998252949149974,1.7293577981651491,1.0999999999999988,37.58620689655173
21,0.0,0.0,0.0,0.5683351066543354,0.0,0.00017592157632255855,38.96551724137932,42.86206896551425,0.00019351373395480085,0.0,1.0998064862659682,1.6681415929203034,1.099999999999923,38.96551724137932
22,0.0,0.0,0.0,0.5113261959090383,0.0,0.0001955316344761227,40.344827586206904,44.3793103448274,0.00021508479792373402,0.0,1.0997849152020716,1.6111111111111098,1.0999999999999952,40.3448275862069
23,0.0,0.0,0.0,0.45809131405882264,0.0,0.00021824944500620097,41.72413793103448,45.896551724142455,0.00024007438950684478,0.0,1.0997599256106017,1.5578512396694244,1.1000000000001087,41.724137931034484
24,0.0,0.0,0.0,0.4082693639868979,0.0,0.00024487635170205533,43.10344827586205,47.41379310344698,0.0002693639868722536,0.0,1.0997306360130983,1.507999999999996,1.0999999999999703,43.10344827586207
25,0.0,0.0,0.0,0.36154447621022906,0.0,0.0002765146617119509,44.482758620689644,48.93103448254282,0.0003041661278818046,0.0,1.0996958338672673,1.461240310077496,1.0999999999951489,44.48275862068966
26,0.0,0.0,0.0,0.3176394287073727,0.0,0.0003147232951441368,45.862068965517246,50.44827586206848,0.0003461956246585471,0.0,1.0996538043753308,1.4172932330827035,1.0999999999999892,45.862068965517246
27,0.0,0.0,0.0,0.2763103677861311,0.0,0.0003617809334568892,47.241379310344854,51.965517241378876,0.00039795902680257457,0.0,1.0996020409731877,1.3759124087593189,1.09999999999999,47.24137931034483
28,0.0,0.0,0.0,0.23734270228428017,0.0,0.00042115423652934263,48.620689655172406,53.48275862069007,0.0004632696601822806,0.0,1.0995367303398265,1.3368794326241067,1.1000000000000087,48.62068965517241
29,0.0,0.0,0.0,0.20054822314538692,0.0,0.000498384677583408,49.99999999999998,54.9999999999986,0.0005482231453417352,0.0,1.0994517768546308,1.3000000000000176,1.0999999999999726,50.0
